Source,t0,u0,te,rho,piEN,piEE,t0_err,u0_err,te_err,rho_err,piEN_err,piEE_err,chi2,cov_piEE_piEN,piE,piE_err
10322,2463283.0796675445,3.9649029996142895,0.6931005471460469,0.13044816880718413,1.2805763993563422e-05,-0.00019831217038728595,0.01617293003148955,1330.270199943203,332.96782457136027,306.3057380103371,333.3615288362041,336.24005998385627,0.9961727360577446,25511.911279429434,0.00019872519849071677,336.2281579617262
10323,2462977.366840243,0.8420082577368432,1.495143494413015,0.09145697131441691,0.0025408424155142274,0.0003874721147661048,0.22079491780469832,2.149554728515988,0.08213370047478466,0.054481380815669146,224.37079678296922,18.069801556351376,1.0010498669476884,4049.4560361303916,0.002570216881937688,221.82323765165066
10324,2461969.96553619,0.06386366187617187,2.3689992441878465,0.1331180518775705,8.484361450539108e-06,-0.00018337241911532278,444.92575359605604,7700.392884591417,45.73425038983297,3379.114046781704,10571.7935494339,8961.516776113436,1.0100235069096573,34542411.30051736,0.00018356859339611716,8965.264914459094
10325,2462088.25857342,0.35046915114393595,2.5092505026543845,0.21206758112131674,3.594428218947578e-08,0.0005406568814907509,13649.895286200424,983.9278139297812,859.9937748810335,969.2713861336231,996.4766726155804,947.4101704508469,1.0045510308615382,225494.7619978198,0.0005406568826855858,947.4101706733336
10326,2461510.41398941,0.5829077309122126,1.894647528387988,0.09832385870297079,4.6490560211792256e-05,0.0027699151528534395,0.06540059348923212,0.4788107695388253,0.03581078445317498,0.03552446800450451,60.702208062117556,4.181468005569404,0.996084384598124,253.23522402646307,0.002770305276715167,4.303193919837538
10327,2462924.200641905,0.17130293874233368,0.34809500398575194,0.3701512333763322,3.1362545800304857e-05,6.2577022433162025e-06,0.00013120551832314462,0.02466833960356436,0.000696302624042483,0.004281577662372241,4.7266861759472665,10.536225841050747,0.9954920460424498,-49.749681897561466,3.198074602698043e-05,5.073115343507828
10328,2462051.741928982,1.4358688814479514,2.810503704947476,0.01443629328794508,0.000252239692356533,-0.013220772878288909,304.8273835552099,46.56504894546516,82.83367849071479,291.65969705589634,330.403701836342,309.15117254927935,0.9981381235720718,39409.25024310507,0.013223178905304871,309.1591715738879
10329,2461629.711611248,1.2464973773326284,2.1664943527212595,0.15552512074491728,0.000600576701885083,-0.00022758360341797504,1.1243458003540534,0.4067423066982562,0.6607898978144052,0.24063300664554155,514.962629165555,33.53263796376564,0.9975256136778348,-10935.636713330856,0.0006422512525420826,481.6941918338137
10330,2462901.159274463,0.03314024625247861,2.387604375668082,0.06559378868578504,0.004517196985882422,0.0008318770222559442,2.8577356312028876,55.28177477773756,0.5128627119087386,0.2635401732234824,261.61000359982245,24.12388397591254,0.995769465534372,-3144.954742239171,0.00459315664760333,257.32070428134665
10331,2462423.3428227296,4.771976690131303,9.32042733149758,0.009866550962591827,0.0006607744579151244,9.252372894206953e-05,46371.625621465115,6732.515795313677,3631.2241681561654,177.27236164255987,5352.916361139104,2707.120015471637,0.9999590148850812,977205.242686927,0.0006672207465677098,5314.474680163253
