Source,t0,u0,te,rho,piEN,piEE,categories,piE
5399,2462714.0293288217,2.65428148291392,0.6501879177621803,0.0096387808394122,0.0004913704916393,-0.0003538407054532,B,0.0006055148263168009
5401,2461698.204142667,1.7659510422361604,3.623595364971423,0.0090613264452775,0.0030783346570161,-0.0006841618615029,D,0.003153446006089456
5406,2462768.6850134865,2.666041936546532,1.3221467730250638,0.0126864102489291,0.0001021886011213,-0.0001814416861762,D,0.00020823927506978792
5407,2462150.195543221,0.4127850821842554,1.675306607096508,0.0056480783915616,0.0010521887530239,-0.0002141935294858,C,0.0010737690813501636
5408,2462460.889159353,1.9668589359791195,6.703267720130403,0.0059062696582756,0.00111682402365,-6.789610467614594e-05,C,0.0011188859552393935
5410,2462689.7925577634,1.9398569858286776,2.0266987085497794,0.0025022377927605,0.0061463295925343,0.0004235522673973,B,0.006160906100832916
5411,2461827.5512374206,0.8980653503880337,2.248803042248611,0.0125207741158925,0.0002762506820183,-0.0001956109985107,A,0.0003384938729931887
5413,2462251.159937228,1.7421687885271944,7.949496656884565,0.0026648029692019,0.0001553697765477,0.0023168187108319,B,0.0023220225464722064
5414,2462674.6025984907,1.1027370296363674,1.695692663859167,0.0171985351807617,0.000168766639154,3.0544806521250864e-05,B,0.00017150849453236155
5418,2463166.793439873,0.1906982081060561,2.5178385052520094,0.010065580575364,0.0007084169711938,0.0006626757251418,C,0.0009700483089865203
5420,2462980.7152235075,0.5046402082962612,1.606157439143605,0.0284159335943893,0.0016660773245878,0.00923751899061,A,0.009386563308974485
5422,2461516.227183446,0.8230469101403675,2.5696368302253325,0.0079512821508132,0.0020506157132697,0.0005912527160188,A,0.0021341519575016695
5425,2462409.121202184,2.7058374163531145,0.4334979432964211,0.0253324238022924,0.000241549502011,-8.491008048849361e-05,B,0.0002560388323874419
5426,2462478.234719064,0.5335259399659668,2.466607321501615,0.0068703887169662,0.001839282829248,-0.0017367716654577,C,0.002529691116303182
5427,2462596.94441987,2.913618709797816,1.6243054649025628,0.0119787203012562,0.0002670459402389,0.0007781062963094,A,0.0008226560293065443
5428,2461669.816114299,1.1036366870682095,12.378572789638254,0.0013778001188237,0.0003653106524386,0.0027768310464447,A,0.002800757492765892
5433,2462142.157203925,0.0774912873286594,3.1936722387499046,0.0039757663744553,0.0003472581615779,0.0007848881861048,C,0.0008582760019185822
5435,2462954.428334739,1.5538600225367327,4.377934491748657,0.0024438470273905,0.0012500314828349,0.0004892423624703,A,0.0013423623941819659
5436,2461575.5236181472,1.440490373207416,1.304508686318534,0.0131480335521832,0.0002511334486761,0.0005173146473424,B,0.0005750499573071396
5437,2462247.9119072068,1.9913387565206413,0.20580556590364,0.0461001212079749,0.0016047934703977,0.0015452506765403,B,0.0022278154627301044
5439,2462439.6756151696,0.2315982864459111,0.1827580294203501,0.0687165536520035,7.14840486057002e-05,-6.006572389021824e-05,C,9.336948319187615e-05
5441,2462047.587834231,2.387052611400315,0.9483081957868246,0.0127727175468554,0.0077244873235349,-0.0005771099709506,B,0.007746015771351228
5442,2462194.632083006,0.0688656248066755,1.46104594885653,0.019521813887973,0.0003265867987375,0.000588375727431,C,0.0006729375407417592
5444,2462160.7574912934,2.981096929798917,0.8527530382025656,0.011922499049244,0.0007196345022992,-7.944437907498159e-05,C,0.0007240063717026437
5445,2463302.1534119537,1.639081078012663,0.5454266137133177,0.0159111066527287,0.0012213376864791,0.0003085490430028,C,0.0012597095920695628
