Source,t0,u0,te,rho,piEN,piEE,piE
15938,1.6032991272667844e-09,4.630320140434853e-11,20532.39542650126,9652.255463888816,21972594.604947362,45236337.8545333,21110348.284576572
15940,6.87814167390846e-08,0.29923912867460073,0.2066385893784861,0.3066921344150296,425747.47109169315,12723.562789421234,127889.19131789064
15941,1.3895340269566996e-11,3.228942707992364e-08,151165.88309273188,377.6272787229748,3584874.4514193125,363593.9866888453,364716.7542799283
15942,6.065493567568003e-05,4.657918612265746,5.108080916590228,55.89733523227386,8622584.251930835,161679539.8083637,8620414.08308761
15943,0.022135870141943466,37.776091385595215,173.95595695505327,1834.9184625017406,373272070162.9881,34260846977.704628,34117764154.96377
15944,8.005867259411087e-05,303.77092619032913,59.06924348860478,39933.16871575386,587803.2578377945,905934.744395834,494199.5889390864
15945,2.5065211175608855e-05,2.9124441720675494,0.4489829360829461,2323909.352581409,68539.65879093616,10084.95937099462,12832.326467750168
15946,4.8727552001938634e-05,1.5072863058794161,3.7499350977265453,118358197541.34457,968776.6610889719,43234.27569800918,51365.671645906026
15948,0.014478853236262383,479.70714715375607,235.9301355352054,25503.49393427111,6937022.130527448,38053173.71844036,6827039.851592509
15949,4.351744296619979e-08,41.99236670865279,15.94180565245925,29.679802710435307,326942702.1844946,13111727.024730315,18333354.841256365
15951,8.983021171149671e-09,0.5466449540622909,0.0533314945317651,0.6494139179268699,23495.065280079416,1224.4658064549556,8285.876587648601
15953,2.728256752891862e-08,23959.073179638275,74776.68272053036,908.1330478367462,448048.32793665456,7611179.600165068,447274.47963331686
15954,1.805539486244765e-05,11706.49216638213,1.3505143458172686,301.84568334321807,6285292086.15464,428201.08145154425,428201.221271579
15955,3.603268621839409e-05,646.4122069952856,6.139926779010822,1081.8327991005183,2471953.3335929527,22342502.600333724,2456979.733778757
15956,0.0004853562402663385,1378.4650950784044,15.02956436908437,1690.258112455355,5771239690288.461,55620.64270679835,55620.64270679977
