Source,t0,u0,te,rho,piEN,piEE,piE
5259,0.27357946865387756,4.7637084805612495e-05,0.00014540259870958843,2.854339029761936e-07,3.9500597315921254e-07,3.1021279818355427e-07,5.0225275035603e-07
5266,0.021758736073334634,0.0012831047900580224,0.00821518283097446,0.0044597624958601255,2.768386034414685e-07,1.1906303349620241e-07,6.436963310545152e-08
5267,0.0031402928076807346,0.00023008660140371291,0.0009267864990185992,1.7378106458825392e-06,2.646879515294579e-09,3.801959263849482e-09,1.0669255004183805e-08
5270,0.0018498855969731648,0.0023915314104512547,0.0009776527892339734,6.244998924497886e-07,1.2736489144978681e-08,1.87156911151494e-09,1.2810690263798345e-08
5274,0.016051102533841247,0.01955723143004316,0.031791378623182556,0.0005239975664785063,6.318148261856117e-06,1.47342764573434e-05,6.34544674523198e-06
5277,0.0002873838123214955,0.0005428277136077537,0.01843791392101989,0.0027652649472350143,5.046781792883131e-07,1.4195511622957584e-05,1.2392662089748274e-05
5282,0.8241564510946364,1.0875175008924916,0.38828771967204423,0.00025010562048838,0.00023079503661837581,3.5330048428437374e-06,0.000339856179607622
5283,8.21306259662664e-05,4.313411659184432e-05,8.667748977245615e-05,1.8419538737925576e-05,1.1694083565565706e-07,6.276809150553226e-09,1.1710816081737076e-07
5284,0.010126342170840855,0.00018300640871843173,0.00780706519852295,0.0010110291754657583,7.317339299164133e-08,8.715106554180586e-08,5.379719044442527e-08
5292,0.07757290619603273,0.00011265317621624329,0.019634642999807224,0.00018668131663999519,4.981094852222148e-07,9.379941934157568e-07,5.400492446937284e-07
5298,0.12375548131563623,0.03155189697315383,0.008940112355785434,0.0001515681781352939,3.087311385381591e-07,3.4268660995581653e-07,3.005363489745453e-07
5299,inf,inf,inf,inf,inf,inf,inf
5300,0.00041321195963489626,9.652740637183223e-05,0.0026063928847128042,1.8198163866216814e-05,1.7849420292169123e-07,1.3159890883012983e-06,4.2196734120540966e-08
