Source,Set,t0,u0,te,rho,s,q,alpha,piEN,piEE,t0_err,u0_err,te_err,rho_err,s_err,q_err,alpha_err,piEN_err,piEE_err,piE,piE_err,piE_err_MC,mass_thetaE,mass_mu,mass_thetaS,err_mass_thetaE_NotMC,mass_err_thetaE,mass_err_mu,mass_err_thetaS,chichi,dof
2104,2,2462284.744040772,0.5796090797478414,68.60044517518558,0.0004280849709831387,5.797707020503704,0.011361335850905438,0.17781911387235844,0.04739814328953851,-0.07627578215390517,85.02106234100202,40.439789639799,1064.1118658165233,60.260838868460375,82.20988739389718,0.3296843993937561,6.821016060993837,3.5588569677199797,1.4236508786449722,0.14474159016968804,16.06562952198432,,,,,,,,,41568.30245799724,41557
2105,2,2462047.7880535955,2.9156433316048367,76.47006553014447,3.872445680626064e-06,2.4128418140182917,0.00029703339973879994,3.1415926535897927,5.464367613633945e-37,-6.435661160080568e-39,26.426992523228677,0.2217254606554117,6.658552158986354,259.71763079751634,263.4549806242053,0.304372569234192,308.84601149599195,0.07473373227030858,0.05082510773316251,4.788612613000595e-16,0.014520174867900843,,,,,,,,,41512.17669747518,41557
2109,2,2461787.967031225,0.04182825346505771,62.63564376932075,0.0004830788724817355,6.720422315127203,0.001448003285213368,3.1047951360919916,2.4979712892994597e-10,-0.009542092151123718,10501.609468795115,4.438633690091536,862.0496960356048,2283.035929113771,880.277184286384,25.527998905154384,382.1949681068241,5.024834497162942,2.925457420317547,1.6562907757843826e-05,0.6113754076126755,,,,,,,,,68862.61984975103,41557
2111,2,2462592.305048696,0.05282307796668839,594.5779187147265,0.00010603422453224647,1.0985849014536158,0.00023986494168399996,2.9697618329358577,0.00572155512021633,-1.4402217085714956e-24,0.8204686057041096,0.0020762535195256583,0.004636319635846976,0.0009149253228987478,0.004981630527977072,6.30521460884148e-05,0.10415418936233893,0.013160208259128848,0.005206117978865773,1.2526190006240909e-06,0.0030911318789196467,,,,,,,,,1663968.6623924512,41557
2112,2,2462818.4857679424,2.889603069875076,2553.16944897426,1.6603589629048366e-05,0.1832221341017848,0.00012326241120968838,0.0007469508315141837,1.3379879280174636e-24,3.932739953114995e-08,1053.3690633997935,59.82188448428266,767.6715211369161,68.25200845137289,8226.176756829005,8.339889235664202,8305.54299351289,0.006250419434887205,0.06282105352037218,0.0029877759305863187,0.06952064641862653,,,,,,,,,41402.20278509511,41557
2113,2,2463125.268069932,0.925743089827999,1.2674322802014968,3.1949935622746505e-06,0.1595988630762861,0.0005086926494364133,3.141043655014594,0.007921844612325868,-0.0006143738626445425,0.00014048035155619028,40.05030539487433,49.77078410462639,42.58587959973731,39.56699873175364,39.20995268626547,123.81012738356175,39.62313102087056,39.565702998746374,0.0008116605940248474,0.00011724571533866696,,,,,,,,,40963.95468749011,41557
2116,2,2462294.8559425003,0.2701701614870035,722.9101510988476,5.287809317306823e-05,0.586556207280842,0.0002058914179502778,3.1037782708584247,0.017432029446347596,3.634531350106612e-10,3.0387727916412186,0.046194894860735546,78.5005338632153,0.35440786546016767,0.03165599307649201,6.862942186649196e-05,0.02305937195097459,0.0021457200326158443,0.0005503743114684938,0.017432005120967625,0.0020363236701192596,,,,,,,,,43175.8654525919,41557
2118,2,2461763.9764405726,2.0771936561228787e-15,264.31263626836045,1.1120957955538755e-09,0.8752627583674419,7.711867593391611e-05,3.1415926535897927,0.0017381828106005056,-8.460857287895532e-18,0.20882036446097593,2.4429893775141197e-05,0.006920580733573157,6.181063030387365e-05,2.5726345439780486e-05,6.894929586521498e-06,7.813155911507659e-05,2.556735688111904e-05,2.4996526564700984e-05,0.0051409777410176775,0.023163242602584296,,,,,,,,,33703394.21735606,41557
2125,2,2462962.549320299,2.563942124075262,276.5891866293529,9.544191154946075e-05,1.7346259239364357,0.00030338570951854763,1.8577135809518266,0.0055660760378492035,0.00016184401185451893,28.870235462765024,10.176888364524348,898.6771073627248,6.018665499650635,10.617316396784176,0.04000184613460149,11.15997266882964,0.03136607131871173,0.06893566943877387,0.0065570160348846,0.017679546292004765,,,,,,,,,41515.31248839471,41557
2126,2,2462781.9525248697,1.1907054397121228,923.1330100460557,6.863917901308931e-10,1.414754322768788,0.00018692484907068335,0.14167406414432043,0.011985025042697764,0.01595934315888159,4.226472270255412,7.171351147291165e-05,0.05551970816271744,6.713011141218451e-05,8.488276259928993e-05,6.630260954768075e-05,6.145005115640771e-05,6.211889617033112e-05,6.20394645837363e-05,0.030614509279548202,0.018602810999218275,,,,,,,,,41683.2147410129,41557
