Source,Set,t0,u0,te,rho,s,q,alpha,piEN,piEE,Category,mass
164,1,2462418.511744505,0.0247437307183571,224.5063617774121,6.089682414417603e-05,0.2750882001020971,1.2623556733689492e-05,2.018642574978411,0.001380283237159,0.0073195964256202,A,108.21287532451588 solMass
165,1,2462783.577519543,1.607278562172111,389.31912731381647,2.7481316593896945e-05,0.2469786787654971,0.0001110068884573,0.9103433448093776,0.0091684604822223,-0.0119916030382416,A,85.66661359823755 solMass
166,1,2461586.838738635,1.133479782791169,174.65958798193267,9.820087276631353e-05,0.0931666029330514,9.381533615412046e-05,0.2313635339961699,0.0029252441588967,0.0031447913479587,A,77.9805844833467 solMass
167,1,2463237.981203784,1.3154925941535605,299.420721315008,2.5555822714895943e-05,0.8639820978434172,0.0001952358621453,3.108396977848195,0.0140808899671577,0.0031761906337539,A,51.43605604365138 solMass
168,1,2463052.124151017,2.7422079068261143,726.6880657602406,1.6986622818985356e-05,0.2155776255554382,7.299789558472036e-05,2.8788815505310463,0.0281973143927383,-0.0156870284690285,A,50.114044771534914 solMass
169,1,2463163.28750971,2.492093101585285,659.9100374426181,0.0001062681256389,0.0710640154233388,4.14362740453602e-05,1.774757695785082,0.0168214585467235,-0.0008463591160317,A,80.28815441569118 solMass
170,1,2463038.182027785,1.9653241135427333,218.22018767216477,9.83593505777576e-06,1.2008294880628183,8.633435198619265e-05,1.6498174571935489,0.0075803810673227,0.0469439818064078,A,43.85564387521315 solMass
172,1,2462287.516560639,2.742432525606576,84.07797155899475,0.0005068607723695,1.7589096184182402,7.226929685032104e-05,2.6579803942810383,3.705480348818117e-05,0.0025552188356825,B,65.70578728260045 solMass
173,1,2463300.6443615127,2.581335155227928,128.56205993709835,0.0001197182783984,0.0295521077052061,3.316476608818498e-05,2.5659115353452715,0.0037366330718187,0.0008938589218854,B,61.0173431798519 solMass
175,1,2461894.463614382,0.952885964200885,92.58344928239607,0.0001024768639208,0.1868273988758998,9.24844874482101e-05,0.6312354964102431,0.0046914069446464,0.0015860414601128,A,58.35505937037044 solMass
176,1,2463090.477037476,0.0343863731820331,740.4501783073696,2.390449499686524e-05,1.3665974077351692,0.0003460346440561,0.8798162107210519,0.0326032146043574,0.0431758544148332,A,13.452009985848596 solMass
180,1,2462799.0711778,1.6290388938169835,78.42642104735512,0.0003146416551578,1.0774127189453069,0.0002214569975987,0.6095678291681347,0.0078139395511766,-0.0088636688680249,A,19.49287766973242 solMass
183,1,2462501.2738048905,0.3723296882665241,633.4266716428826,3.1122124556025824e-05,0.7158237597533585,9.468870640012828e-05,0.2278684095000001,0.0033475938441804,0.0113327696980239,A,99.5549871295107 solMass
184,1,2462608.896442299,1.2881959158256513,18.83336909602073,0.0006668218453092,4.190483079293178,2.8527353321018516e-05,3.073827789526817,0.0006852154600678,0.0005927993423609,A,73.85986013753514 solMass
185,1,2462738.7091469765,2.359850059128147,409.4193687029367,0.000178546597931,0.7180597776452066,3.5095882925937185e-05,0.9664480181244972,0.0115326157045736,0.003403748000053,A,64.22319720390942 solMass
