Source,t0,u0,te,piEN,piEE,piE,categories
5048,2462177.586663098,1.7151236633301037,101.87522183072028,0.0085220409396621,0.02172606022623,0.023337670722054716,B
5049,2462581.463448048,0.0173018643301097,224.2103602483905,0.0511747265725561,0.0219667047084804,0.05569011362464127,A
5051,2461807.486846194,2.6248642983056967,193.37149145981087,0.0004903763569303,0.0044366254718359,0.004463643640433156,A
5052,2461566.904475105,0.3341330737938661,1307.1986134073802,0.0038457048762011,-0.00843359510652,0.009269032981684498,A
5053,2461719.55586312,2.5182883171631247,100.18463441039157,0.0034043983910332,0.0067926549182504,0.007598031932237505,A
5057,2462740.850112885,1.8576295093662696,157.87255782655862,0.0145744656138881,0.027487651279533,0.031112473717073975,A
5060,2462211.1058306275,1.4639159822209709,954.4766815447308,0.0107674369259127,0.0160645824607426,0.01933929956310484,A
5061,2462535.944203847,1.1864826055487323,898.7449478819491,0.0058613959668498,0.000434486507614,0.0058774774525728055,A
5066,2463186.690310281,1.4231175842522017,201.07095727021456,0.0023306881696247,0.000424052799704,0.0023689508481531093,B
5067,2462480.9149132087,2.597484712817251,75.29421740361447,0.0030614287501697,0.0023551524387348,0.0038625236571500875,A
5068,2462021.238543731,2.987004479660929,154.5637371058083,0.0030798300902943,0.0021801184758482,0.003773363215198992,A
5076,2462945.9058044665,1.4970501597539112,512.2115752808371,0.0121668009749215,-0.0160629596970892,0.02015067542772854,A
5077,2461693.0942720487,0.0056083051347776,332.28962319982287,0.004826722431405,0.0021061146598135,0.005266210059436438,A
5082,2463236.961054276,2.725041549836228,1046.1319674178387,0.0128312560082475,-0.0326161169150016,0.03504928263691343,A
5083,2461751.4530777195,2.4723983959960605,82.10236748611395,0.0071014113090166,-0.0172257821409102,0.01863216608303848,A
5087,2463198.0135940644,1.740932664775051,583.4670044640823,0.0049365097325479,-0.0089673324887369,0.01023631673518832,A
5089,2462702.242328875,1.3981022980711446,448.0177137547319,0.0024303184105414,0.0048799362370487,0.005451625927581376,A
5091,2462992.303432856,2.984028673968443,1284.3385993663428,0.0031580604760685,0.0100928612396858,0.010575405144676869,A
5095,2462502.409563688,1.2265538457499257,619.7630463085284,0.0103427328119199,-0.0066662947557128,0.01230494241306348,A
5097,2461946.793477155,2.5561027129338663,273.3147827124508,0.005368124214051,0.0029397312886582,0.0061203576388146365,A
5101,2462695.097768095,0.3628964892877308,1054.0393636070175,0.0123824169233817,0.0071597273682701,0.014303354321710883,A
5103,2461866.442828085,0.245601009709337,259.1276298333749,0.0006152932910841,0.0023919629699509,0.002469832521380637,A
5105,2462399.6598809017,1.6441211893428944,456.57433645369576,0.0002024582638499,-0.0112887413349224,0.011290556685805473,A
5106,2461760.7874927805,1.537618860024656,65.77739434141341,0.0013713999964502,-0.0075462237649883,0.007669826012468457,D
5107,2462262.441131646,2.969573096521536,73.45906496874466,0.001151598145999,-0.0060024449020587,0.006111916482750629,B
5111,2462183.5369208427,0.4219166969636289,312.4909198142222,0.0002510898710431,-0.0062002734265408,0.006205355484354497,A
5112,2463171.882471454,2.039074743172391,230.4052799760861,0.0082648283755342,0.0051823084481901,0.009755188820787518,A
5113,2462828.685454037,0.524854403605525,83.78234535330631,0.0003463455398776,0.0009011314556878,0.0009653979145529163,A
5117,2461761.282116272,2.08619062052705,972.7456205754382,0.0002666072546133,0.011821603106233,0.01182460906032458,A
5118,2461732.179126924,1.5131398704909338,299.6170839898285,0.0164406611737795,-0.0080446984725363,0.018303347053067878,A
5123,2462444.0756511493,0.4001533045010067,116.62678238634466,0.0415273699938155,0.02332048946768,0.047627383799820684,A
5126,2462267.592516269,0.698069137844791,51.120377675817146,0.0012981684951651,0.0001330825935508,0.0013049721907172687,B
5127,2462844.861779549,1.173355693926716,23.90623704278628,0.0016748337535742,0.0043302067756131,0.004642817982828645,C
5128,2463090.7593491045,1.852229951371509,36.47442397870198,0.0008525375103468,-0.0002611435361291,0.0008916367831187376,B
5130,2462222.7674826607,1.6285063159306397,19.697248168758897,0.0024251521178752,-0.0015499877756206,0.0028781634594664466,B
5132,2463174.088719724,2.686429608195267,386.7303684556037,0.0064608446290754,0.0326472034139533,0.033280360636163436,A
5133,2463002.293586764,1.9086761013846791,61.871471747889935,0.0024903713899251,0.000232125244253,0.002501166085804177,A
5134,2461632.571029392,1.990014715238978,45.0310715073222,0.0013041790664298,-0.0002419085640185,0.0013264248153058648,A
5135,2461753.9077342283,1.821514558057748,175.8821396742498,0.0039711592796798,-0.00245024234421,0.004666239767730191,A
5136,2461915.832526152,0.1776339656604456,280.0203457358124,0.0012873715377731,-0.005175618960758,0.005333325145087818,A
5137,2461797.651987103,2.403845362373187,302.07910237608013,0.001278476725448,-0.0122375155367165,0.01230411676021038,A
5138,2461533.863230349,2.6372155236436416,713.0017231981228,0.0021264750225286,-0.0084891044023668,0.008751387865688584,A
5139,2462624.857178456,0.1263013310796469,295.9265798563061,0.0075563335056119,-0.0007244947009973,0.00759098601104008,A
5140,2463001.5650965613,0.0445877617887077,227.899794487307,0.0020522986711555,0.0054923899849877,0.0058632992063188975,A
