u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
30.326,27.409,26.111,24.982,24.426,24.184,24.1238,0.2289038835238719,7767,5008,4.570593,2463146.5116139064,603.4994373615511,2.247761620605253,1.8148354415409265e-05,0.0038610648230131,0.0085620479807509
30.089,26.944,25.573,24.142,23.442,23.135,23.0368,0.4366698036478703,7361,6536,8.396703,2463014.374581065,148.53647879855123,1.789676624773074,8.079067612766822e-05,-0.0040940265154547,0.002908044596842
30.526,27.615,26.319,25.241,24.709,24.478,24.4218,0.2236933950008615,7939,2254,13.45293,2463179.581808093,503.4040379801267,2.666648659520839,7.067089600221236e-06,-0.0017979841991943,0.0170397444273116
31.64,28.337,26.929,25.307,24.517,24.167,24.0408,0.3397450679734176,7783,7557,8.727948,2461578.8879789547,56.8957445467589,0.6077129918436049,0.0001493141654272,0.0027696476847325,0.0005627874827127
30.734,27.548,26.166,24.685,23.961,23.643,23.5378,0.4056515697106662,7428,6476,4.577977,2462482.4140062453,215.5577867183024,1.6164855359334354,9.400062897388262e-05,0.0073067980625715,0.000516902898727
28.705,25.962,24.721,23.774,23.306,23.094,23.0508,0.3188990025518816,7973,7044,5.03713,2462266.3690837324,286.3931644540051,2.551199161829381,4.709474016504654e-05,-0.0039729529350751,0.0013251363182294
28.933,26.279,25.069,24.167,23.723,23.516,23.4798,0.3335440216340872,7834,7353,14.53376,2463096.814623209,65.38878636474269,1.3684947156655043,7.60983339109478e-05,0.0031300185875954,0.0007087883947919
30.497,27.617,26.331,25.292,24.779,24.555,24.5008,0.2427466028692821,7991,7221,9.159459,2461814.543775515,157.93918539146262,1.4713354031164425,3.566803050705285e-05,-0.003196478075942,0.0010648124910277
29.988,26.919,25.569,24.224,23.561,23.271,23.1828,0.4376764315067084,7513,6374,10.264,2462672.327630767,133.31031019936907,2.28963675311667,7.231796647127239e-05,0.0018522964326328,0.0060728343534776
28.557,26.008,24.833,23.946,23.513,23.304,23.2738,0.3703848044689506,7148,6736,7.451059,2462365.1531096506,97.4201445969666,1.9709401867506284,0.0001212519301932,-0.0043054055798163,4.129622228046443e-05
23.544,21.613,20.903,20.69,20.61,20.559,20.7258,0.8001163790379983,7063,3310,5.223096,2462014.7806005194,750.0965918780668,0.319433986591363,4.911402988060345e-05,-0.0115029942432376,0.0095740768491135
