u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,theta_E,theta_s,M
14.12,13.292,13.542,13.775,13.912,13.955,14.6558,4.326663908243624,7870,5919,12.37565,2462476.8549792683,1.4415327927379622,0.9068245497799363,0.05234469813112247,-0.0005364079716137809,0.0006690030737714959,48.842998785619606,2.5566720272520396,7.3269241557268625 jupiterMass
15.947,15.122,15.373,15.605,15.743,15.786,16.4868,4.262389770419769,7656,7272,5.995513,2461693.1819673562,0.8558515094385548,1.448278357300671,0.184294885117352,-0.0004804691103210004,0.00010092251671115504,14.04864846244621,2.5890940544405883,3.680822829705565 jupiterMass
15.655,14.787,15.025,15.253,15.389,15.427,16.1218,4.247693392056981,7888,7024,2.886752,2461770.8470394895,1.8493580226453885,2.0684596097584285,0.17133362509638833,-5.6000938492437354e-05,0.0010654252637147565,14.61639416998664,2.504279798981527,1.762257663197516 jupiterMass
15.54,14.671,14.909,15.137,15.274,15.312,16.0078,4.282064067684803,7855,7539,6.328184,2461653.180452171,0.40646718478291144,0.803949591736947,0.3599889743535983,0.0005354273695070035,0.0005361602389654798,7.042297427154726,2.5351494278944138,1.1955089431248267 jupiterMass
16.014,15.14,15.377,15.605,15.742,15.78,16.4758,4.341633512679549,7970,3214,6.553389,2461511.1467926456,5.807585931574723,1.8566692482034157,0.02431196506545079,0.0016715556260195003,0.0006171063085977593,104.20087545663667,2.533328043891139,7.522398491337773 jupiterMass
14.412,13.655,13.92,14.16,14.301,14.352,15.0608,4.228177013701804,7995,7617,10.60094,2462925.903829978,0.788237126277427,1.8943430948547453,0.10750291629771405,0.00020407354770947064,0.0001787941637619958,22.877630339327656,2.4594119794587845,10.84635845454246 jupiterMass
15.664,14.878,15.139,15.376,15.515,15.562,16.2678,4.247693392056976,6057,3421,8.936535,2463225.8930328526,2.0433758991566515,2.6551589180576256,0.0652326431170503,0.002395963582525374,0.0008567326469667047,49.99507252832276,3.2613107238511243,2.5273820693376012 jupiterMass
15.136,14.376,14.64,14.88,15.024,15.074,15.7828,4.291935244825642,7310,6961,5.777705,2462511.404168674,1.490566329036892,1.3320303563562197,0.1158019651884094,-0.0002571732254500518,0.00013592456333533,23.578514803855157,2.730438350510431,10.426720398677613 jupiterMass
12.995,13.134,13.561,13.905,14.164,14.329,15.1258,4.588314314788545,7779,7544,6.825685,2463289.60681723,0.5882987181270061,2.965869239746607,0.2495008681757681,-0.000324300678462574,0.00016583235346072974,10.99395410222788,2.7430010931904034,3.8825466321579145 jupiterMass
12.406,12.558,12.985,13.331,13.592,13.757,14.5568,4.593599848874321,7384,6987,9.282636,2462007.2269691397,0.7844856691698565,2.867091328227813,0.1451081995516815,0.00038569883704493805,1.4188036671017968e-05,19.937289292594663,2.8930641531894294,6.644700312364569 jupiterMass
12.21,12.335,12.759,13.103,13.361,13.523,14.3198,4.468411500134779,7144,5391,5.281075,2463150.915878942,3.3100759971645095,0.3399228330481051,0.06077685606826327,-0.0009079993973531364,0.00028288455268013637,47.859711421562125,2.908762792536897,6.473218482768064 jupiterMass
11.821,11.906,12.323,12.662,12.915,13.072,13.8638,4.509757202689281,7820,7449,8.308114,2461673.847266363,0.6230051602329815,0.6803810297206713,0.189251413890918,-0.0002841008200688594,0.00034824858760880623,14.171109907745041,2.681902586444346,4.055923947804212 jupiterMass
13.271,13.348,13.763,14.101,14.353,14.51,15.3018,4.468411500134794,6247,1967,8.744967,2463246.848661322,7.2432582595962804,0.6427189851184238,0.019181224373599804,0.0015013254822840228,0.0013341608980826775,173.42109364174377,3.3264289082573497,11.106754969091643 jupiterMass
10.192,10.247,10.658,10.992,11.241,11.394,12.1808,4.583034862397179,6183,3520,6.195668,2462420.2300376203,1.550091850681089,1.2164379093318576,0.13109772630192587,0.004605719857619982,0.0006647011776129723,26.293920537510203,3.4470731980311,0.7268297386320837 jupiterMass
11.094,11.091,11.494,11.821,12.064,12.21,12.9918,4.535792315142951,7697,3044,2.937542,2462770.7410273287,16.30126141063012,0.5594962789957789,0.02090322010511191,-0.00013453778258861813,0.0015088015649482604,131.10373729419635,2.7404902772633553,11.133058184004028 jupiterMass
13.253,13.172,13.553,13.867,14.097,14.232,15.0028,4.520153266714996,7876,5298,5.651943,2462700.990039718,0.28512725908088893,2.8142154809615847,0.604919739898898,0.012815408545134023,0.005643349518704371,4.412109558032626,2.6689721662505383,0.04053018414663029 jupiterMass
11.46,11.394,11.778,12.092,12.324,12.463,13.2348,4.520153266715006,7958,7227,6.246814,2462624.7087682933,1.2100996337787977,2.504170893649099,0.12763104864864586,2.103380779947894e-05,0.0006137776087377451,20.69614601966945,2.64147081947591,4.334857494020673 jupiterMass
12.088,12.014,12.398,12.713,12.944,13.081,13.8538,4.41726201665889,7945,3739,11.32982,2461801.6329779993,2.257656716356225,2.487718557943557,0.0369202946445904,0.0016409670783276932,0.001180988227343302,70.03105877647388,2.5855673243000443,4.4556671009297 jupiterMass
9.69,9.647,10.036,10.354,10.59,10.731,11.5068,4.422350506102524,7957,1025,6.741213,2461754.917826389,7.53355358196276,0.609283305855528,0.01858885704661096,-0.0035762227300400284,0.004957470509998559,139.04254440225577,2.584641981290589,2.925912505081787 jupiterMass
13.52,13.432,13.813,14.126,14.355,14.491,15.2618,4.437651171732515,7718,3326,7.256719,2462938.7803416033,6.290517325994107,0.9056952880539642,0.02139481489315285,-0.0003797140374171289,0.001315271347467363,124.97882710299966,2.6738988714320318,11.743264138648138 jupiterMass
