u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,m_planet,m_star,t0,te,u0,rho,piEE,piEN,s,q,alpha
19.987,18.926,18.679,18.654,18.693,18.71,19.1488,1.3324568715949467,7968,1831,10.47967,7.256358302754312 jupiterMass,7.573013803689201 solMass,2462475.9595629727,177.60276306653302,1.1224215668848445,0.0001526136313243999,0.003672850804331745,0.08246716328212186,1.544518168024986,0.0009146791455800949,2.2172421463699976
28.581,25.913,24.691,23.799,23.357,23.154,23.1198,0.3377949564084024,7645,6445,7.848568,2.0661377687538276 jupiterMass,24.929259368640658 solMass,2462629.324419567,103.48491665635991,0.3058260130657581,9.240490129137846e-05,0.01052039883809505,0.0030451791357963636,1.8358164055654003,7.911679891780906e-05,2.4989873595594525
31.354,28.156,26.772,25.277,24.548,24.227,24.1198,0.3923314838827975,7966,3475,8.935428,2.5602097394195376 jupiterMass,2.187568524880213 solMass,2462755.8487402424,69.53238124446884,0.738380223907556,0.00013464716453916,-0.062012005210907294,0.07246344064194704,4.246005259282272,0.0011172045251180533,3.102038631643307
30.645,27.776,26.495,25.483,24.983,24.764,24.7128,0.2388653531091614,7842,4632,5.602013,11.439459969524677 jupiterMass,12.242045718141528 solMass,2462252.5005915067,193.61389166962633,0.011631222253788431,4.77015523031657e-05,-0.022869230815738262,0.019042060465583883,1.1953570332453982,0.0008920112518815968,2.3076017462397305
29.009,26.406,25.206,24.34,23.912,23.71,23.6828,0.3421000682786429,7893,7020,4.786943,10.82401977508347 jupiterMass,90.91015603348245 solMass,2462507.565030085,260.6125547111144,0.32373519835332565,5.901253679938696e-05,-0.0045075761029502595,0.0009799853214650296,0.34257533203966706,0.00011365668387874204,0.6838243307115225
22.363,20.865,20.34,20.198,20.163,20.141,20.4198,0.9123325312222882,3597,2320,8.753937,7.630249059483508 jupiterMass,82.74898231899756 solMass,2463096.3084537634,423.7243860985573,1.2288433878082188,0.00011614824795441985,0.01506680873100619,0.00021581488150632157,1.0054305001733184,8.802273516614119e-05,1.5715903070017285
31.272,27.989,26.585,24.986,24.207,23.863,23.7398,0.3557567597344589,6399,2202,4.017914,4.905583911821099 jupiterMass,80.49616360396196 solMass,2461846.6980451457,1270.3095227701438,0.9224318922571042,1.8501957373289753e-05,-0.012867098421314711,0.016993406885177496,0.7398970082144963,5.817472419575807e-05,1.0770954640908939
22.705,21.111,20.546,20.387,20.342,20.313,20.5658,0.8732792899353935,4391,2206,8.610422,12.099019506207984 jupiterMass,90.44562942654727 solMass,2463133.64941504,546.8189115690046,2.5372427768677315,7.174779798651406e-05,0.00732344662969736,0.015892456753526442,0.3224838047479968,0.0001276972069356678,2.5407618158880165
30.905,28.013,26.723,25.679,25.164,24.939,24.8858,0.224209061532792,7090,6980,5.352835,1.4611804507304824 jupiterMass,67.06442596966959 solMass,2462702.538218665,75.18262311444249,2.4585691254591353,0.00013347268926593305,0.0017100692066257528,0.001070205297592695,0.12469254913023792,2.0798424990424024e-05,2.1091203802032394
30.193,27.264,25.961,24.833,24.275,24.032,23.9698,0.2982999364670245,7905,3609,8.994514,8.682354579813746 jupiterMass,66.97229681506852 solMass,2463281.689350217,368.03550596196004,1.5115481433401077,1.9362912435512375e-05,0.010257005528616053,0.013070940568217171,0.02679071695936317,0.00012375453752248446,2.9794381530866136
31.164,27.918,26.522,24.964,24.204,23.867,23.7498,0.383842589826599,7811,7418,8.409877,10.837078026864464 jupiterMass,17.49118824260334 solMass,2462495.282760662,42.70248427924628,0.31332971112528285,0.00023242912833325744,0.005938801369877062,0.0035097229717235,0.2930011170741431,0.0005914413620181109,2.812147800715567
30.093,26.967,25.6,24.193,23.503,23.201,23.1068,0.4614802942399597,7919,7438,7.775697,8.851781011211134 jupiterMass,66.11546145834602 solMass,2462017.801030302,98.50412399375607,1.3796834767370325,0.00012923373372783644,0.0023111563806855703,0.003134186596264458,0.04725452593950459,0.00012780458499839526,2.4316261502746186
30.982,28.091,26.802,25.761,25.248,25.023,24.9698,0.2257632045009111,7966,7098,4.63258,4.123912830546544 jupiterMass,64.86626174897016 solMass,2462925.8477416616,224.53114663140917,0.7982617794887574,4.628072488702843e-05,-0.004508951848274335,0.002954238192266568,0.3700467382003129,6.0688920608167294e-05,2.164814104707673
31.855,28.607,27.21,25.654,24.895,24.561,24.4438,0.3636245199132514,7362,5721,4.83663,1.711022045261765 jupiterMass,101.75628646095902 solMass,2462423.803393297,429.1082356477177,1.6405666587987993,4.0423549805441384e-05,-0.00033064336214686755,0.006848820935179524,0.6396229776453324,1.605140906186612e-05,1.9557212195879856
31.406,28.215,26.831,25.344,24.617,24.298,24.1918,0.3977893584917349,5707,1059,14.48906,0.32901971464131835 jupiterMass,74.15713117482132 solMass,2462715.8714753143,543.2797371389604,1.112672135348374,1.5040711673964174e-05,-0.01859126608927208,0.030459845420634755,1.0772330664010987,4.235335395033126e-06,1.5772501462073052
25.561,23.255,22.313,21.982,21.833,21.734,21.7548,0.6473708811450999,7180,3178,3.620379,6.736213321596877 jupiterMass,94.85167941655325 solMass,2462793.220387506,1174.3235342348278,2.1324606939507986,3.602249011971655e-05,-0.007336395594389785,0.013161044705382713,0.6002052114985927,6.77937431908193e-05,2.617497576759057
30.183,27.221,25.905,24.726,24.142,23.887,23.8188,0.3496658030699479,7463,6151,7.822708,12.580919351839949 jupiterMass,51.41302895384428 solMass,2461999.8411992854,161.5372636351153,2.2564338590704467,6.297913533708813e-05,0.004492652983836484,0.006932600742524428,0.614092457763638,0.0002335920157919721,3.0450799303269966
